LOCATION,MPLS,5G/LTE,VLAN-BYOD,,VLAN-CLINIC,,VLAN-SERVER,,VLAN-BACKUP,,VLAN-TEST,,VLAN-ADMIN,,VPN-MFA,
Alabaster Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Bessemer Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,TRUE,10.10.x.0/24,TRUE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Birmingham Dental Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Birmingham Hemp Hill Elementary School Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Birmingham Southern College Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Brent Elementary School Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Camden Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Camden RV CLinic,FALSE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Centreville Admin,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Centreville Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Centreville Dental Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Centreville Facilities,TRUE,TRUE,TRUE,192.168.x.0/23,FALSE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Centreville IT,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,TRUE,10.10.x.0/24,TRUE,172.0.x.0/24,TRUE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
